Uid,Vehicle id,Data date,Year,Make,Model,Model fr,Local version name,Trim,Manufacturer code,Msrp,Evox
747248620,747248620201001,2020-10-01,2020,Hyundai,Elantra GT,Elantra GT,Luxury 6AT,Luxury,EG35AF20B300,24299.00,14118 | 2020 Hyundai Elantra GT N Line
748896920,748896920201001,2020-10-01,2020,Hyundai,Elantra Sedan,Elantra Berline,Essential IVT,Essential,EL64IF20A100,18849.00,13705 | 2020 Hyundai Elantra  Value Edition
754805121,754805120201001,2020-10-01,2021,Hyundai,Tucson,Tucson,Ultimate 2.4 AWD 6AT,Ultimate,TU3SAA24B400,38099.00,14486 | 2021 Hyundai Tucson Sport 
760241721,760241720201001,2020-10-01,2021,Hyundai,Sonata Hybrid,Sonata hybride,Ultimate,Ultimate,SH84AF20I400,40199.00,14678 | 2021 Hyundai Sonata Hybrid Limited
768162821,768162820201001,2020-10-01,2021,Hyundai,Sonata,Sonata,Luxury,Luxury,SO84AF16D300,36149.00,14661 | 2021 Hyundai Sonata SEL
773456821,773456820201001,2020-10-01,2021,Hyundai,Tucson,Tucson,Preferred Trend 2.4 AWD 6AT,Preferred Trend,TU3SAA24B241,32599.00,14486 | 2021 Hyundai Tucson Sport 
776097020,776097020201001,2020-10-01,2020,Hyundai,Elantra Sport,Elantra Sport,DCT,-,EL64DF16DS00,27099.00,13705 | 2020 Hyundai Elantra  Value Edition
776097120,776097120201001,2020-10-01,2020,Hyundai,Elantra Sport,Elantra Sport,6MT,-,EL64MF16DS00,25599.00,13705 | 2020 Hyundai Elantra  Value Edition
776097220,776097220201001,2020-10-01,2020,Hyundai,Elantra Sedan,Elantra Berline,Ultimate IVT,Ultimate,EL64IF20A400,27599.00,13706 | 2020 Hyundai Elantra  Limited 
779533621,779533620201001,2020-10-01,2021,Hyundai,Tucson,Tucson,2.0 Essential AWD 6AT,Essential,TU3SAA20B100,28099.00,14485 | 2021 Hyundai Tucson SEL
780023021,780023020201001,2020-10-01,2021,Hyundai,Tucson,Tucson,Luxury 2.4 AWD 6AT,Luxury,TU3SAA24B300,34799.00,14485 | 2021 Hyundai Tucson SEL
787185420,787185420201001,2020-10-01,2020,Hyundai,Elantra GT N Line,Elantra GT N Line,6MT,-,EG35MF16DO00,27249.00,14099 | 2020 Hyundai Elantra GT 
787185620,787185620201001,2020-10-01,2020,Hyundai,Elantra GT N Line,Elantra GT N Line,Ultimate DCT,Ultimate,EG35DF16DO20,30749.00,14118 | 2020 Hyundai Elantra GT N Line
788041620,788041620201001,2020-10-01,2020,Hyundai,Elantra Sedan,Elantra Berline,Preferred w/Sun and Safety IVT,Preferred w/Sun and Safety,EL64IF20A265,22149.00,13706 | 2020 Hyundai Elantra  Limited 
790163921,790163920201001,2020-10-01,2021,Hyundai,Sonata,Sonata,Sport,Sport,SO84AF16DS00,31649.00,14661 | 2021 Hyundai Sonata SEL
79803820,79803820201001,2020-10-01,2020,Hyundai,Elantra Sedan,Elantra Berline,Luxury IVT,Luxury,EL64IF20A300,24299.00,13850 | 2020 Hyundai Elantra SEL
79805321,79805320201001,2020-10-01,2021,Hyundai,Tucson,Tucson,Preferred 2.0 AWD 6AT,Preferred,TU3SAA20B200,30299.00,14486 | 2021 Hyundai Tucson Sport 
79805421,79805420201001,2020-10-01,2021,Hyundai,Tucson,Tucson,Preferred 2.0 FWD 6AT,Preferred,TU3SAF20B200,28299.00,14486 | 2021 Hyundai Tucson Sport 
